Done with 1 flops
Done with 2 flops
Done with 3 flops
Done with 4 flops
Done with 5 flops
Done with 6 flops
Done with 7 flops
Done with 8 flops
Done with 9 flops
Done with 10 flops
Done with 11 flops
Done with 12 flops
Done with 13 flops
Done with 14 flops
Done with 15 flops
Done with 16 flops
Done with 17 flops
Done with 18 flops
Done with 19 flops
Done with 20 flops
Done with 21 flops
Done with 22 flops
Done with 23 flops
Done with 24 flops
Done with 25 flops
Done with 26 flops
Done with 27 flops
Done with 28 flops
Done with 29 flops
Done with 30 flops
Done with 31 flops
Done with 32 flops
Done with 33 flops
Done with 34 flops
Done with 35 flops
Done with 36 flops
Line: []
Flop,IP Eq,IP EV,OOP Eq,OOP EV,Check,Bet(120),AllIn(900)
Jh9d5c,44.62,88.00,55.38,112.00,35.78,64.22,0.00
JhTd5c,46.09,89.34,53.91,110.66,49.59,49.05,1.36
Jh7d6c,45.08,79.20,54.92,120.80,20.33,79.67,0.00
Jh8d6c,45.07,83.64,54.93,116.36,22.06,77.94,0.00
Jh9d6c,44.75,81.99,55.25,118.01,25.08,74.92,0.00
JhTd6c,45.87,83.64,54.13,116.36,39.50,58.38,2.12
Jh8d7c,46.20,93.05,53.80,106.95,41.88,58.12,0.00
Jh9d7c,45.67,89.93,54.33,110.07,40.11,59.89,0.00
JhTd7c,45.13,84.97,54.87,115.03,38.13,61.83,0.04
Jh9d8c,45.61,94.05,54.39,105.95,47.65,52.35,0.00
JhTd8c,45.35,92.28,54.65,107.72,51.82,48.12,0.06
JhTd9c,44.83,89.31,55.17,110.69,52.00,48.00,0.00

Line: [Check]
Flop,IP Eq,IP EV,OOP Eq,OOP EV,Check,Bet(120),AllIn(900)
Jh3d2c,52.60,118.20,47.40,81.80,56.95,43.05,0.00
Jh4d2c,52.32,118.82,47.68,81.18,56.81,43.19,0.00
Jh5d2c,50.55,115.40,49.45,84.60,54.39,45.61,0.00
Jh6d2c,50.38,112.24,49.62,87.76,57.94,42.06,0.00
Jh7d2c,50.67,113.32,49.33,86.68,57.67,42.33,0.00
Jh8d2c,50.29,113.82,49.71,86.18,58.02,41.98,0.00
Jh9d2c,51.50,114.41,48.50,85.59,60.60,39.40,0.00
JhTd2c,52.28,115.67,47.72,84.33,64.89,35.11,0.00
Jh4d3c,52.19,117.85,47.81,82.15,55.03,44.97,0.00
Jh5d3c,50.32,115.91,49.68,84.09,54.17,45.82,0.00
Jh6d3c,50.58,112.24,49.42,87.76,56.55,43.45,0.00
Jh7d3c,50.58,113.48,49.42,86.52,55.05,44.95,0.00
Jh8d3c,50.81,114.56,49.19,85.44,57.98,42.02,0.00
Jh9d3c,51.51,114.62,48.49,85.38,59.33,40.67,0.00
JhTd3c,52.73,116.58,47.27,83.42,64.56,35.44,0.00
Jh5d4c,49.78,114.64,50.22,85.36,53.75,46.25,0.00
Jh6d4c,48.25,108.54,51.75,91.46,56.68,43.32,0.00
Jh7d4c,48.34,109.05,51.66,90.95,53.90,46.10,0.00
Jh8d4c,47.60,108.78,52.40,91.22,55.14,44.86,0.00
Jh9d4c,50.20,111.72,49.80,88.28,59.14,40.86,0.00
JhTd4c,51.75,115.09,48.25,84.91,62.54,37.46,0.00
Jh6d5c,46.99,106.56,53.01,93.44,56.44,43.56,0.00
Jh7d5c,47.94,110.81,52.06,89.19,55.31,44.69,0.00
Jh8d5c,47.71,110.83,52.29,89.17,56.19,43.81,0.00
Jh9d5c,46.06,107.84,53.94,92.16,56.35,43.65,0.00
JhTd5c,49.97,112.75,50.03,87.25,59.95,40.05,0.00
Jh7d6c,47.91,108.58,52.09,91.42,58.59,41.41,0.00
Jh8d6c,47.74,108.81,52.26,91.19,59.97,40.03,0.00
Jh9d6c,48.37,107.85,51.63,92.15,62.08,37.92,0.00
JhTd6c,51.49,114.16,48.51,85.84,63.62,36.38,0.00
Jh8d7c,48.79,113.00,51.21,87.00,60.21,39.79,0.00
Jh9d7c,49.28,111.87,50.72,88.13,61.74,38.26,0.00
JhTd7c,51.57,116.61,48.43,83.39,62.68,37.32,0.00
Jh9d8c,48.19,111.38,51.81,88.62,61.52,38.47,0.00
JhTd8c,49.47,113.27,50.53,86.73,65.93,34.07,0.00
JhTd9c,47.89,108.23,52.11,91.77,70.67,29.32,0.00

Line: [Check, Bet(120)]
Flop,IP Eq,IP EV,OOP Eq,OOP EV,Fold,Call,Raise(300)
Jh3d2c,56.04,261.57,43.96,58.43,44.57,44.11,11.32
Jh4d2c,55.72,263.17,44.28,56.83,44.52,43.04,12.44
Jh5d2c,54.24,260.10,45.76,59.90,41.12,46.23,12.64
Jh6d2c,53.22,254.94,46.78,65.06,41.38,48.87,9.75
Jh7d2c,53.79,256.60,46.21,63.40,43.11,45.65,11.24
Jh8d2c,53.75,258.09,46.25,61.91,43.55,43.68,12.77
Jh9d2c,55.30,258.40,44.70,61.60,45.76,44.65,9.59
JhTd2c,54.71,256.83,45.29,63.17,48.87,36.04,15.09
Jh4d3c,55.48,260.40,44.52,59.60,42.92,44.85,12.23
Jh5d3c,53.59,259.58,46.41,60.42,40.08,47.35,12.58
Jh6d3c,53.14,253.18,46.86,66.82,41.30,47.88,10.82
Jh7d3c,53.12,253.38,46.88,66.62,41.81,46.48,11.71
Jh8d3c,54.21,258.29,45.79,61.71,44.13,43.26,12.60
Jh9d3c,54.91,257.38,45.09,62.62,45.84,43.54,10.61
JhTd3c,55.01,256.86,44.99,63.14,49.51,34.59,15.90
Jh5d4c,52.95,257.37,47.05,62.63,39.17,48.03,12.80
Jh6d4c,51.36,251.36,48.64,68.64,36.86,52.77,10.37
Jh7d4c,51.01,249.56,48.99,70.44,37.25,51.37,11.38
Jh8d4c,50.79,250.59,49.21,69.41,36.86,51.94,11.20
Jh9d4c,53.59,254.50,46.41,65.50,43.75,46.08,10.17
JhTd4c,54.23,255.75,45.77,64.25,47.96,35.92,16.13
Jh6d5c,50.20,249.33,49.80,70.67,35.35,54.27,10.38
Jh7d5c,49.98,250.91,50.02,69.09,39.70,46.57,13.73
Jh8d5c,50.00,250.79,50.00,69.21,40.15,45.63,14.22
Jh9d5c,49.03,250.47,50.97,69.53,38.39,49.35,12.26
JhTd5c,52.52,253.96,47.48,66.04,44.50,39.89,15.61
Jh7d6c,50.54,251.00,49.46,69.00,38.89,51.80,9.30
Jh8d6c,50.22,251.42,49.78,68.58,39.96,49.69,10.35
Jh9d6c,51.03,250.51,48.97,69.49,42.05,45.93,12.03
JhTd6c,53.15,253.25,46.85,66.75,47.28,37.53,15.19
Jh8d7c,50.78,254.80,49.22,65.20,42.13,44.91,12.97
Jh9d7c,52.84,258.35,47.16,61.65,42.55,44.23,13.21
JhTd7c,55.73,266.22,44.27,53.78,44.96,42.56,12.48
Jh9d8c,52.09,261.24,47.91,58.76,41.38,45.77,12.85
JhTd8c,55.25,270.21,44.75,49.79,40.44,50.31,9.25
JhTd9c,52.02,261.99,47.98,58.01,43.00,47.56,9.44

Line: [Check, Bet(120), Raise(300)]
Flop,IP Eq,IP EV,OOP Eq,OOP EV,Fold,Call,AllIn(900)
Jh3d2c,38.65,159.31,61.35,460.69,44.21,30.95,24.84
Jh4d2c,38.64,161.35,61.36,458.65,43.89,32.73,23.39
Jh5d2c,39.18,160.46,60.82,459.54,43.40,31.48,25.12
Jh6d2c,38.13,147.29,61.87,472.71,44.50,29.88,25.62
Jh7d2c,39.15,154.06,60.85,465.94,44.54,34.13,21.33
Jh8d2c,39.93,173.36,60.07,446.64,43.92,37.48,18.59
Jh9d2c,38.60,135.72,61.40,484.28,44.84,27.98,27.18
JhTd2c,34.40,103.92,65.60,516.08,45.13,32.55,22.32
Jh4d3c,38.81,157.22,61.19,462.78,44.22,28.85,26.93
Jh5d3c,38.59,157.40,61.41,462.60,43.22,32.12,24.67
Jh6d3c,38.76,146.62,61.24,473.38,44.21,29.83,25.97
Jh7d3c,39.85,149.91,60.15,470.09,42.85,37.06,20.09
Jh8d3c,40.32,173.39,59.68,446.61,43.69,38.09,18.22
Jh9d3c,38.73,136.79,61.27,483.21,45.20,27.26,27.54
JhTd3c,34.82,105.32,65.18,514.68,45.19,31.84,22.97
Jh5d4c,38.49,146.03,61.51,473.97,43.75,29.86,26.38
Jh6d4c,38.62,140.29,61.38,479.71,44.56,28.19,27.24
Jh7d4c,40.56,138.81,59.44,481.19,43.08,33.67,23.25
Jh8d4c,41.17,150.24,58.83,469.76,43.53,34.70,21.77
Jh9d4c,39.11,140.08,60.89,479.92,45.25,27.00,27.75
JhTd4c,35.52,106.42,64.48,513.58,45.55,28.96,25.49
Jh6d5c,38.48,130.25,61.52,489.75,44.93,25.47,29.60
Jh7d5c,40.52,140.42,59.48,479.58,43.51,31.61,24.88
Jh8d5c,40.90,152.69,59.10,467.31,43.13,34.67,22.20
Jh9d5c,39.99,142.09,60.01,477.91,44.33,29.30,26.37
JhTd5c,36.53,107.98,63.47,512.02,44.44,29.56,26.00
Jh7d6c,39.59,144.27,60.41,475.73,45.65,23.77,30.58
Jh8d6c,39.98,156.56,60.02,463.44,44.26,32.05,23.69
Jh9d6c,36.98,127.27,63.02,492.73,45.19,29.24,25.57
JhTd6c,35.38,102.45,64.62,517.55,44.49,33.43,22.07
Jh8d7c,37.80,137.20,62.20,482.80,42.21,39.60,18.19
Jh9d7c,37.04,134.16,62.96,485.84,41.96,33.51,24.52
JhTd7c,37.06,122.45,62.94,497.55,40.84,33.16,26.00
Jh9d8c,37.88,151.38,62.12,468.62,41.05,36.56,22.39
JhTd8c,37.93,144.92,62.07,475.08,37.76,39.42,22.82
JhTd9c,35.54,156.73,64.46,463.27,44.78,38.43,16.79

Line: [Check, Bet(120), Raise(300), AllIn(900)]
Flop,IP Eq,IP EV,OOP Eq,OOP EV,Fold,Call
Jh3d2c,53.57,1047.14,46.43,352.86,39.23,60.77
Jh4d2c,53.63,1054.25,46.37,345.75,39.55,60.45
Jh5d2c,54.35,1066.95,45.65,333.05,38.86,61.14
Jh6d2c,52.11,1021.73,47.89,378.27,44.00,56.00
Jh7d2c,53.99,1041.27,46.01,358.73,44.65,55.35
Jh8d2c,54.69,1066.38,45.31,333.62,42.56,57.44
Jh9d2c,51.71,1021.46,48.29,378.54,21.99,78.01
JhTd2c,52.75,1024.96,47.25,375.04,26.61,73.39
Jh4d3c,53.01,1044.75,46.99,355.25,38.00,62.00
Jh5d3c,52.81,1042.21,47.19,357.79,37.89,62.11
Jh6d3c,52.37,1025.05,47.63,374.95,43.00,57.00
Jh7d3c,52.42,1026.12,47.58,373.88,43.18,56.82
Jh8d3c,54.77,1068.79,45.23,331.21,42.55,57.45
Jh9d3c,52.09,1028.91,47.91,371.09,21.84,78.16
JhTd3c,53.15,1032.30,46.85,367.70,27.45,72.55
Jh5d4c,50.97,1005.34,49.03,394.66,38.32,61.68
Jh6d4c,50.92,996.86,49.08,403.14,40.51,59.49
Jh7d4c,50.94,995.77,49.06,404.23,41.47,58.53
Jh8d4c,51.41,1003.26,48.59,396.74,40.32,59.68
Jh9d4c,52.77,1041.47,47.23,358.53,21.82,78.18
JhTd4c,53.51,1041.50,46.49,358.50,26.01,73.99
Jh6d5c,49.99,968.97,50.01,431.03,41.14,58.86
Jh7d5c,50.66,984.17,49.34,415.83,37.38,62.62
Jh8d5c,51.33,997.55,48.67,402.45,36.11,63.89
Jh9d5c,54.18,1066.17,45.82,333.83,19.47,80.53
JhTd5c,54.01,1059.07,45.99,340.93,22.00,78.00
Jh7d6c,51.72,1001.53,48.28,398.47,39.44,60.56
Jh8d6c,51.83,999.38,48.17,400.62,36.12,63.88
Jh9d6c,50.92,996.03,49.08,403.97,25.87,74.13
JhTd6c,50.95,995.36,49.05,404.64,25.60,74.40
Jh8d7c,48.49,945.77,51.51,454.23,30.22,69.78
Jh9d7c,51.81,1010.76,48.19,389.24,28.88,71.12
JhTd7c,53.04,1047.24,46.96,352.76,22.75,77.25
Jh9d8c,55.66,1087.08,44.34,312.92,30.71,69.29
JhTd8c,56.54,1124.87,43.46,275.13,9.83,90.17
JhTd9c,54.30,1074.70,45.70,325.30,31.21,68.79

Line: [Check, AllIn(900)]
Flop,IP Eq,IP EV,OOP Eq,OOP EV,Fold,Call
Jh3d2c,NaN,NaN,NaN,NaN,NaN,NaN
Jh4d2c,81.27,1171.45,18.73,-71.45,72.16,27.84
Jh5d2c,59.63,1032.61,40.37,67.39,74.97,25.03
Jh6d2c,NaN,NaN,NaN,NaN,NaN,NaN
Jh7d2c,NaN,NaN,NaN,NaN,NaN,NaN
Jh8d2c,NaN,NaN,NaN,NaN,NaN,NaN
Jh9d2c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd2c,NaN,NaN,NaN,NaN,NaN,NaN
Jh4d3c,80.01,1141.81,19.99,-41.81,74.99,25.01
Jh5d3c,79.12,1146.29,20.88,-46.29,73.89,26.11
Jh6d3c,NaN,NaN,NaN,NaN,NaN,NaN
Jh7d3c,NaN,NaN,NaN,NaN,NaN,NaN
Jh8d3c,NaN,NaN,NaN,NaN,NaN,NaN
Jh9d3c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd3c,NaN,NaN,NaN,NaN,NaN,NaN
Jh5d4c,NaN,NaN,NaN,NaN,NaN,NaN
Jh6d4c,NaN,NaN,NaN,NaN,NaN,NaN
Jh7d4c,75.82,1120.16,24.18,-20.16,72.43,27.57
Jh8d4c,NaN,NaN,NaN,NaN,NaN,NaN
Jh9d4c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd4c,NaN,NaN,NaN,NaN,NaN,NaN
Jh6d5c,NaN,NaN,NaN,NaN,NaN,NaN
Jh7d5c,73.96,1112.17,26.04,-12.17,71.96,28.04
Jh8d5c,NaN,NaN,NaN,NaN,NaN,NaN
Jh9d5c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd5c,77.00,1099.66,23.00,0.34,76.16,23.84
Jh7d6c,NaN,NaN,NaN,NaN,NaN,NaN
Jh8d6c,NaN,NaN,NaN,NaN,NaN,NaN
Jh9d6c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd6c,NaN,NaN,NaN,NaN,NaN,NaN
Jh8d7c,70.32,1060.86,29.68,39.14,72.84,27.16
Jh9d7c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd7c,72.88,1068.53,27.12,31.47,74.63,25.37
Jh9d8c,75.98,1123.58,24.02,-23.58,71.75,28.25
JhTd8c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd9c,90.61,1244.42,9.39,-144.42,71.48,28.52

Line: [Bet(120)]
Flop,IP Eq,IP EV,OOP Eq,OOP EV,Fold,Call,Raise(300)
Jh3d2c,43.28,76.02,56.72,243.98,34.63,56.07,9.30
Jh4d2c,43.40,77.80,56.60,242.20,34.28,56.75,8.96
Jh5d2c,43.29,79.06,56.71,240.94,34.44,52.96,12.60
Jh6d2c,44.16,74.57,55.84,245.43,34.76,54.45,10.79
Jh7d2c,43.53,72.12,56.47,247.88,34.54,57.78,7.68
Jh8d2c,43.52,76.26,56.48,243.74,35.17,58.34,6.49
Jh9d2c,42.68,75.07,57.32,244.93,36.04,60.94,3.01
JhTd2c,41.97,66.13,58.03,253.87,36.97,60.21,2.81
Jh4d3c,43.97,78.30,56.03,241.70,33.63,54.26,12.12
Jh5d3c,43.53,82.20,56.47,237.80,33.89,52.89,13.21
Jh6d3c,44.44,74.94,55.56,245.06,33.70,54.98,11.31
Jh7d3c,44.68,75.36,55.32,244.64,32.61,56.85,10.55
Jh8d3c,43.84,76.95,56.16,243.05,34.78,58.70,6.52
Jh9d3c,43.42,76.58,56.58,243.42,35.13,61.34,3.53
JhTd3c,42.41,67.18,57.59,252.82,36.05,61.71,2.24
Jh5d4c,44.04,80.89,55.96,239.11,33.09,53.07,13.84
Jh6d4c,44.28,77.14,55.72,242.86,34.11,53.66,12.23
Jh7d4c,44.75,75.58,55.25,244.42,32.49,55.16,12.34
Jh8d4c,44.81,79.29,55.19,240.71,33.68,54.80,11.52
Jh9d4c,43.32,76.83,56.68,243.17,35.70,60.03,4.26
JhTd4c,42.42,67.33,57.58,252.67,35.91,59.95,4.14
Jh6d5c,44.11,75.31,55.89,244.69,34.75,51.67,13.57
Jh7d5c,44.43,77.11,55.57,242.89,32.14,57.39,10.47
Jh8d5c,44.51,78.63,55.49,241.37,32.23,59.13,8.64
Jh9d5c,43.82,76.95,56.18,243.05,33.88,57.99,8.13
JhTd5c,42.35,66.45,57.65,253.55,34.70,58.95,6.34
Jh7d6c,44.36,71.70,55.64,248.30,34.53,54.24,11.23
Jh8d6c,44.31,76.52,55.69,243.48,34.64,57.50,7.87
Jh9d6c,43.53,73.33,56.47,246.67,35.60,59.35,5.05
JhTd6c,42.31,63.96,57.69,256.04,34.55,63.28,2.17
Jh8d7c,44.34,78.68,55.66,241.32,32.83,60.94,6.23
Jh9d7c,43.25,75.24,56.75,244.76,35.32,57.71,6.97
JhTd7c,41.17,65.47,58.83,254.53,34.32,60.79,4.89
Jh9d8c,43.26,78.28,56.74,241.72,37.57,52.83,9.60
JhTd8c,40.92,69.72,59.08,250.28,40.21,47.26,12.52
JhTd9c,41.51,68.82,58.49,251.18,40.96,57.24,1.80

Line: [Bet(120), Raise(300)]
Flop,IP Eq,IP EV,OOP Eq,OOP EV,Fold,Call,AllIn(900)
Jh3d2c,56.59,456.56,43.41,163.44,45.26,15.02,39.72
Jh4d2c,56.32,458.08,43.68,161.92,46.11,14.09,39.80
Jh5d2c,55.91,452.47,44.09,167.53,44.63,17.56,37.81
Jh6d2c,55.06,439.41,44.94,180.59,43.90,24.09,32.01
Jh7d2c,54.62,435.25,45.38,184.75,44.75,20.81,34.44
Jh8d2c,55.90,442.37,44.10,177.63,44.42,22.17,33.41
Jh9d2c,56.57,459.69,43.43,160.31,45.45,16.43,38.12
JhTd2c,60.20,550.92,39.80,69.08,43.46,20.60,35.94
Jh4d3c,56.14,455.06,43.86,164.94,45.20,13.39,41.41
Jh5d3c,55.29,451.53,44.71,168.47,44.74,16.89,38.37
Jh6d3c,54.72,438.58,45.28,181.42,44.64,20.00,35.35
Jh7d3c,54.44,435.84,45.56,184.16,43.23,21.92,34.86
Jh8d3c,55.85,441.72,44.15,178.28,44.53,21.45,34.02
Jh9d3c,56.22,458.64,43.78,161.36,46.52,12.98,40.50
JhTd3c,60.06,555.29,39.94,64.71,43.72,19.99,36.30
Jh5d4c,54.99,447.86,45.01,172.14,44.84,15.98,39.18
Jh6d4c,54.70,438.57,45.30,181.43,44.18,18.55,37.27
Jh7d4c,54.28,433.62,45.72,186.38,41.72,23.72,34.56
Jh8d4c,55.57,442.88,44.43,177.12,41.96,25.25,32.78
Jh9d4c,56.05,452.92,43.95,167.08,44.08,19.69,36.22
JhTd4c,58.64,499.37,41.36,120.63,43.37,22.54,34.09
Jh6d5c,54.11,431.39,45.89,188.61,42.66,22.98,34.36
Jh7d5c,53.81,429.12,46.19,190.88,43.10,22.73,34.17
Jh8d5c,55.24,436.89,44.76,183.11,42.84,23.40,33.76
Jh9d5c,54.88,436.16,45.12,183.84,40.75,25.39,33.85
JhTd5c,56.60,469.58,43.40,150.42,42.68,21.74,35.58
Jh7d6c,53.21,413.00,46.79,207.00,43.03,24.18,32.79
Jh8d6c,54.78,424.66,45.22,195.34,42.90,26.49,30.61
Jh9d6c,55.22,446.38,44.78,173.62,43.27,22.28,34.45
JhTd6c,57.23,476.16,42.77,143.84,43.00,21.33,35.67
Jh8d7c,54.61,420.53,45.39,199.47,37.92,30.47,31.60
Jh9d7c,55.50,453.62,44.50,166.38,38.66,25.97,35.37
JhTd7c,59.51,539.76,40.49,80.24,42.77,15.62,41.61
Jh9d8c,57.20,481.94,42.80,138.06,39.71,28.03,32.26
JhTd8c,60.47,519.32,39.53,100.68,33.15,35.95,30.90
JhTd9c,60.03,509.36,39.97,110.64,49.49,8.59,41.92

Line: [Bet(120), Raise(300), AllIn(900)]
Flop,IP Eq,IP EV,OOP Eq,OOP EV,Fold,Call
Jh3d2c,43.29,297.23,56.71,1102.77,35.01,64.99
Jh4d2c,43.51,302.17,56.49,1097.83,35.64,64.36
Jh5d2c,42.39,283.22,57.61,1116.78,36.65,63.35
Jh6d2c,40.85,267.46,59.15,1132.54,38.33,61.67
Jh7d2c,40.75,259.62,59.25,1140.38,37.25,62.75
Jh8d2c,42.26,273.34,57.74,1126.66,36.15,63.85
Jh9d2c,41.96,262.93,58.04,1137.07,20.12,79.88
JhTd2c,50.74,469.67,49.26,930.33,21.81,78.19
Jh4d3c,43.83,299.13,56.17,1100.87,34.52,65.48
Jh5d3c,42.40,281.08,57.60,1118.92,36.17,63.83
Jh6d3c,41.29,267.58,58.71,1132.42,37.62,62.38
Jh7d3c,41.02,262.85,58.98,1137.15,37.18,62.82
Jh8d3c,41.76,264.69,58.24,1135.31,36.38,63.62
Jh9d3c,42.15,271.73,57.85,1128.27,20.00,80.00
JhTd3c,50.51,469.17,49.49,930.83,21.48,78.52
Jh5d4c,42.86,285.02,57.14,1114.98,35.30,64.70
Jh6d4c,41.75,267.30,58.25,1132.70,36.54,63.46
Jh7d4c,40.82,255.60,59.18,1144.40,36.40,63.60
Jh8d4c,41.74,262.06,58.26,1137.94,36.39,63.61
Jh9d4c,41.29,248.10,58.71,1151.90,20.15,79.85
JhTd4c,43.79,305.44,56.21,1094.56,12.85,87.15
Jh6d5c,41.10,254.99,58.90,1145.01,36.61,63.39
Jh7d5c,40.98,254.79,59.02,1145.21,35.80,64.20
Jh8d5c,41.63,258.28,58.37,1141.72,34.09,65.91
Jh9d5c,38.74,189.47,61.26,1210.53,16.41,83.59
JhTd5c,40.98,246.06,59.02,1153.94,12.47,87.53
Jh7d6c,38.83,219.14,61.17,1180.86,35.50,64.50
Jh8d6c,41.02,251.57,58.98,1148.43,34.74,65.26
Jh9d6c,40.29,229.59,59.71,1170.41,18.35,81.65
JhTd6c,41.03,246.69,58.97,1153.31,11.50,88.50
Jh8d7c,36.85,166.96,63.15,1233.04,26.51,73.49
Jh9d7c,42.21,256.21,57.79,1143.79,22.80,77.20
JhTd7c,50.57,437.91,49.43,962.09,14.68,85.32
Jh9d8c,42.62,304.86,57.38,1095.14,26.65,73.35
JhTd8c,47.73,362.52,52.27,1037.48,11.99,88.01
JhTd9c,45.26,384.40,54.74,1015.60,35.28,64.72

Line: [AllIn(900)]
Flop,IP Eq,IP EV,OOP Eq,OOP EV,Fold,Call
Jh3d2c,18.65,-107.48,81.35,1207.48,69.75,30.25
Jh4d2c,18.78,-106.17,81.22,1206.17,69.92,30.08
Jh5d2c,NaN,NaN,NaN,NaN,NaN,NaN
Jh6d2c,NaN,NaN,NaN,NaN,NaN,NaN
Jh7d2c,NaN,NaN,NaN,NaN,NaN,NaN
Jh8d2c,NaN,NaN,NaN,NaN,NaN,NaN
Jh9d2c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd2c,NaN,NaN,NaN,NaN,NaN,NaN
Jh4d3c,NaN,NaN,NaN,NaN,NaN,NaN
Jh5d3c,NaN,NaN,NaN,NaN,NaN,NaN
Jh6d3c,NaN,NaN,NaN,NaN,NaN,NaN
Jh7d3c,NaN,NaN,NaN,NaN,NaN,NaN
Jh8d3c,NaN,NaN,NaN,NaN,NaN,NaN
Jh9d3c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd3c,46.92,99.69,53.08,1000.31,73.36,26.64
Jh5d4c,21.07,-93.30,78.93,1193.30,69.50,30.50
Jh6d4c,NaN,NaN,NaN,NaN,NaN,NaN
Jh7d4c,NaN,NaN,NaN,NaN,NaN,NaN
Jh8d4c,NaN,NaN,NaN,NaN,NaN,NaN
Jh9d4c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd4c,40.59,60.99,59.41,1039.01,73.60,26.40
Jh6d5c,NaN,NaN,NaN,NaN,NaN,NaN
Jh7d5c,NaN,NaN,NaN,NaN,NaN,NaN
Jh8d5c,NaN,NaN,NaN,NaN,NaN,NaN
Jh9d5c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd5c,39.51,61.12,60.49,1038.88,72.88,27.12
Jh7d6c,NaN,NaN,NaN,NaN,NaN,NaN
Jh8d6c,NaN,NaN,NaN,NaN,NaN,NaN
Jh9d6c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd6c,39.28,57.15,60.72,1042.85,74.08,25.92
Jh8d7c,26.77,-11.52,73.23,1111.52,72.21,27.79
Jh9d7c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd7c,38.39,58.35,61.61,1041.65,71.95,28.05
Jh9d8c,NaN,NaN,NaN,NaN,NaN,NaN
JhTd8c,36.44,70.97,63.56,1029.03,72.71,27.29
JhTd9c,NaN,NaN,NaN,NaN,NaN,NaN

